,Apple Price/Book Ratio Historical Data,Apple Price/Book Ratio Historical Data,Apple Price/Book Ratio Historical Data,Apple Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,174.72,,39.69
1,2021-12-31,177.34,$4.40,40.29
2,2021-09-30,141.11,$3.84,36.74
3,2021-06-30,136.38,$3.88,35.13
4,2021-03-31,121.43,$4.15,29.29
5,2020-12-31,131.71,$3.94,33.46
6,2020-09-30,114.76,$3.85,29.82
7,2020-06-30,90.2,$4.22,21.38
8,2020-03-31,62.71,$4.53,13.83
9,2019-12-31,72.25,$5.10,14.15
10,2019-09-30,54.94,$5.09,10.79
11,2019-06-30,48.36,$5.32,9.09
12,2019-03-31,46.24,$5.74,8.05
13,2018-12-31,38.23,$6.23,6.14
14,2018-09-30,54.52,$5.63,9.68
15,2018-06-30,44.55,$5.93,7.51
16,2018-03-31,40.23,$6.42,6.27
17,2017-12-31,40.41,$6.90,5.86
18,2017-09-30,36.67,$6.54,5.61
19,2017-06-30,34.13,$6.40,5.33
20,2017-03-31,33.9,$6.44,5.27
21,2016-12-31,27.22,$6.30,4.32
22,2016-09-30,26.43,$6.01,4.4
23,2016-06-30,22.23,$5.87,3.79
24,2016-03-31,25.19,$5.95,4.23
25,2015-12-31,24.2,$5.78,4.18
26,2015-09-30,25.17,$5.35,4.71
27,2015-06-30,28.58,$5.51,5.19
28,2015-03-31,28.24,$5.60,5.04
29,2014-12-31,24.95,$5.29,4.71
30,2014-09-30,22.68,$4.75,4.77
31,2014-06-30,20.81,$5.05,4.12
32,2014-03-31,17.08,$4.98,3.43
33,2013-12-31,17.74,$5.19,3.42
34,2013-09-30,14.99,$4.91,3.05
35,2013-06-30,12.39,$4.85,2.55
36,2013-03-31,13.74,$5.15,2.67
37,2012-12-31,16.42,$4.84,3.39
38,2012-09-30,20.49,$4.50,4.56
39,2012-06-30,17.86,$4.26,4.19
40,2012-03-31,18.33,$3.92,4.68
41,2011-12-31,12.38,$3.45,3.59
42,2011-09-30,11.66,$2.94,3.96
43,2011-06-30,10.26,$2.67,3.84
44,2011-03-31,10.66,$2.37,4.49
45,2010-12-31,9.86,$2.12,4.65
46,2010-09-30,8.68,$1.86,4.66
47,2010-06-30,7.69,$1.69,4.56
48,2010-03-31,7.19,$1.54,4.65
49,2009-12-31,6.44,$1.41,4.57
50,2009-09-30,5.67,$1.26,4.51
51,2009-06-30,4.36,$1.03,4.22
52,2009-03-31,3.21,$0.97,3.3
