,Allete Price/Book Ratio Historical Data,Allete Price/Book Ratio Historical Data,Allete Price/Book Ratio Historical Data,Allete Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,66.13,,1.19
1,2021-12-31,65.66,$55.38,1.19
2,2021-09-30,58.32,$54.27,1.07
3,2021-06-30,67.97,$54.34,1.25
4,2021-03-31,64.68,$54.53,1.19
5,2020-12-31,59.06,$53.75,1.1
6,2020-09-30,48.79,$47.03,1.04
7,2020-06-30,50.95,$46.86,1.09
8,2020-03-31,55.92,$45.81,1.22
9,2019-12-31,74.24,$45.18,1.64
10,2019-09-30,79.37,$42.87,1.85
11,2019-06-30,75.56,$42.82,1.76
12,2019-03-31,74.13,$42.61,1.74
13,2018-12-31,68.2,$41.86,1.63
14,2018-09-30,66.64,$41.17,1.62
15,2018-06-30,68.28,$41.02,1.66
16,2018-03-31,63.26,$40.88,1.55
17,2017-12-31,64.58,$40.47,1.6
18,2017-09-30,66.67,$40.05,1.66
19,2017-06-30,61.38,$39.55,1.55
20,2017-03-31,57.54,$39.32,1.46
21,2016-12-31,54.1,$38.17,1.42
22,2016-09-30,49.81,$37.84,1.32
23,2016-06-30,53.54,$37.49,1.43
24,2016-03-31,46.03,$37.58,1.22
25,2015-12-31,41.32,$37.12,1.11
26,2015-09-30,40.64,$37.21,1.09
27,2015-06-30,36.97,$36.37,1.02
28,2015-03-31,41.61,$36.29,1.15
29,2014-12-31,43.09,$35.10,1.23
30,2014-09-30,34.36,$34.40,1.0
31,2014-06-30,39.34,$33.27,1.18
32,2014-03-31,39.76,$33.19,1.2
33,2013-12-31,37.46,$32.44,1.15
34,2013-09-30,35.93,$31.63,1.14
35,2013-06-30,36.74,$31.15,1.18
36,2013-03-31,35.79,$31.09,1.15
37,2012-12-31,29.62,$30.48,0.97
38,2012-09-30,29.82,$29.83,1.0
39,2012-06-30,29.53,$29.24,1.01
40,2012-03-31,28.98,$29.23,0.99
41,2011-12-31,28.99,$28.78,1.01
42,2011-09-30,25.01,$28.57,0.88
43,2011-06-30,27.69,$28.43,0.97
44,2011-03-31,26.01,$28.19,0.92
45,2010-12-31,24.58,$27.51,0.89
46,2010-09-30,23.74,$27.49,0.86
47,2010-06-30,22.04,$27.22,0.81
48,2010-03-31,21.3,$26.96,0.79
49,2009-12-31,20.5,$26.68,0.77
50,2009-09-30,20.78,$26.22,0.79
51,2009-06-30,17.57,$25.95,0.68
52,2009-03-31,16.04,$25.86,0.62
