,Allete ROE - Return on Equity Historical Data,Allete ROE - Return on Equity Historical Data,Allete ROE - Return on Equity Historical Data,Allete ROE - Return on Equity Historical Data
,Date,TTM Net Income,Shareholder's Equity,Return on Equity
0,2021-12-31,$0.17B,$2.95B,5.92%
1,2021-09-30,$0.16B,$2.86B,5.47%
2,2021-06-30,$0.17B,$2.84B,6.15%
3,2021-03-31,$0.16B,$2.85B,6.08%
4,2020-12-31,$0.17B,$2.80B,6.92%
5,2020-09-30,$0.18B,$2.45B,7.39%
6,2020-06-30,$0.17B,$2.43B,7.15%
7,2020-03-31,$0.18B,$2.37B,7.94%
8,2019-12-31,$0.19B,$2.34B,8.31%
9,2019-09-30,$0.20B,$2.21B,8.99%
10,2019-06-30,$0.20B,$2.21B,9.08%
11,2019-03-31,$0.19B,$2.20B,9.05%
12,2018-12-31,$0.17B,$2.16B,8.21%
13,2018-09-30,$0.15B,$2.12B,7.34%
14,2018-06-30,$0.17B,$2.11B,8.08%
15,2018-03-31,$0.17B,$2.10B,8.46%
16,2017-12-31,$0.17B,$2.07B,8.46%
17,2017-09-30,$0.18B,$2.04B,8.80%
18,2017-06-30,$0.17B,$2.02B,8.73%
19,2017-03-31,$0.16B,$2.00B,8.29%
20,2016-12-31,$0.16B,$1.89B,8.30%
21,2016-09-30,$0.13B,$1.87B,6.97%
22,2016-06-30,$0.15B,$1.85B,8.11%
23,2016-03-31,$0.15B,$1.85B,8.08%
24,2015-12-31,$0.14B,$1.82B,7.84%
25,2015-09-30,$0.16B,$1.82B,8.94%
26,2015-06-30,$0.14B,$1.78B,8.25%
27,2015-03-31,$0.13B,$1.77B,8.34%
28,2014-12-31,$0.13B,$1.61B,8.45%
29,2014-09-30,$0.13B,$1.53B,8.84%
30,2014-06-30,$0.11B,$1.42B,7.99%
31,2014-03-31,$0.11B,$1.41B,8.02%
32,2013-12-31,$0.11B,$1.34B,8.20%
33,2013-09-30,$0.10B,$1.29B,8.11%
34,2013-06-30,$0.11B,$1.25B,8.66%
35,2013-03-31,$0.11B,$1.24B,8.90%
36,2012-12-31,$0.10B,$1.20B,8.36%
37,2012-09-30,$0.09B,$1.16B,7.69%
38,2012-06-30,$0.08B,$1.12B,7.15%
39,2012-03-31,$0.08B,$1.11B,7.57%
40,2011-12-31,$0.09B,$1.08B,9.00%
41,2011-09-30,$0.09B,$1.05B,8.61%
42,2011-06-30,$0.09B,$1.04B,8.66%
43,2011-03-31,$0.09B,$1.01B,9.01%
44,2010-12-31,$0.08B,$0.99B,7.70%
45,2010-09-30,$0.08B,$0.98B,8.41%
46,2010-06-30,$0.08B,$0.97B,8.14%
47,2010-03-31,$0.07B,$0.96B,7.25%
48,2009-12-31,$0.06B,$0.94B,6.78%
