,Cummins Price/Book Ratio Historical Data,Cummins Price/Book Ratio Historical Data,Cummins Price/Book Ratio Historical Data,Cummins Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,209.66,,3.18
1,2021-12-31,216.7,$65.97,3.28
2,2021-09-30,221.67,$62.91,3.52
3,2021-06-30,239.18,$61.19,3.91
4,2021-03-31,252.85,$61.77,4.09
5,2020-12-31,220.38,$60.90,3.62
6,2020-09-30,203.73,$58.23,3.5
7,2020-06-30,166.12,$55.08,3.02
8,2020-03-31,128.68,$54.40,2.37
9,2019-12-31,168.85,$56.17,3.01
10,2019-09-30,152.37,$57.25,2.66
11,2019-06-30,159.07,$58.39,2.72
12,2019-03-31,145.52,$55.52,2.62
13,2018-12-31,122.28,$52.27,2.34
14,2018-09-30,132.62,$50.38,2.63
15,2018-06-30,119.81,$50.18,2.39
16,2018-03-31,144.95,$50.49,2.87
17,2017-12-31,156.94,$49.42,3.18
18,2017-09-30,148.34,$51.57,2.88
19,2017-06-30,142.21,$46.67,3.05
20,2017-03-31,131.67,$44.53,2.96
21,2016-12-31,118.22,$42.83,2.76
22,2016-09-30,110.02,$43.16,2.55
23,2016-06-30,95.75,$42.65,2.25
24,2016-03-31,92.81,$42.61,2.18
25,2015-12-31,73.56,$44.46,1.65
26,2015-09-30,89.86,$45.76,1.96
27,2015-06-30,107.75,$45.99,2.34
28,2015-03-31,113.24,$44.51,2.54
29,2014-12-31,117.1,$44.69,2.62
30,2014-09-30,106.62,$44.32,2.41
31,2014-06-30,123.99,$44.36,2.8
32,2014-03-31,119.23,$42.06,2.84
33,2013-12-31,112.31,$42.15,2.66
34,2013-09-30,105.35,$39.83,2.65
35,2013-06-30,85.56,$37.87,2.26
36,2013-03-31,90.98,$37.14,2.45
37,2012-12-31,84.75,$36.74,2.31
38,2012-09-30,71.76,$35.95,2.0
39,2012-06-30,75.05,$33.81,2.22
40,2012-03-31,92.59,$33.08,2.8
41,2011-12-31,67.67,$30.37,2.23
42,2011-09-30,62.52,$28.74,2.18
43,2011-06-30,78.85,$28.34,2.78
44,2011-03-31,83.32,$26.49,3.15
45,2010-12-31,83.42,$25.26,3.3
46,2010-09-30,68.5,$22.72,3.01
47,2010-06-30,49.09,$20.93,2.35
48,2010-03-31,46.58,$20.20,2.31
49,2009-12-31,34.37,$19.97,1.72
50,2009-09-30,33.46,$18.85,1.78
51,2009-06-30,26.19,$17.81,1.47
52,2009-03-31,18.83,$16.98,1.11
