,Edison ROE - Return on Equity Historical Data,Edison ROE - Return on Equity Historical Data,Edison ROE - Return on Equity Historical Data,Edison ROE - Return on Equity Historical Data
,Date,TTM Net Income,Shareholder's Equity,Return on Equity
0,2021-09-30,$0.76B,$16.74B,4.53%
1,2021-06-30,$0.82B,$17.31B,4.93%
2,2021-03-31,$0.82B,$17.22B,4.99%
3,2020-12-31,$0.74B,$15.95B,4.65%
4,2020-09-30,$0.36B,$15.65B,2.26%
5,2020-06-30,$1.12B,$16.45B,7.10%
6,2020-03-31,$1.19B,$15.54B,8.02%
7,2019-12-31,$1.28B,$15.50B,9.09%
8,2019-09-30,$-0.29B,$15.35B,-2.16%
9,2019-06-30,$-0.25B,$12.91B,-1.88%
10,2019-03-31,$-0.36B,$12.72B,-2.71%
11,2018-12-31,$-0.42B,$12.65B,-3.09%
12,2018-09-30,$0.46B,$14.29B,3.30%
13,2018-06-30,$0.42B,$13.97B,2.97%
14,2018-03-31,$0.42B,$13.89B,2.95%
15,2017-12-31,$0.57B,$13.87B,3.93%
16,2017-09-30,$1.44B,$14.61B,9.95%
17,2017-06-30,$1.39B,$14.80B,9.71%
18,2017-03-31,$1.39B,$14.24B,9.91%
19,2016-12-31,$1.31B,$14.19B,9.44%
20,2016-09-30,$0.90B,$14.01B,6.59%
21,2016-06-30,$0.90B,$13.75B,6.64%
22,2016-03-31,$1.00B,$13.63B,7.42%
23,2015-12-31,$1.02B,$13.39B,7.63%
24,2015-09-30,$1.52B,$13.62B,11.45%
25,2015-06-30,$1.58B,$13.35B,12.10%
26,2015-03-31,$1.74B,$13.10B,13.54%
27,2014-12-31,$1.61B,$12.98B,12.86%
28,2014-09-30,$1.49B,$12.76B,12.22%
29,2014-06-30,$1.45B,$12.40B,12.20%
30,2014-03-31,$0.82B,$12.00B,7.09%
31,2013-12-31,$0.92B,$11.69B,8.04%
32,2013-09-30,$0.08B,$11.44B,0.67%
33,2013-06-30,$-0.17B,$11.11B,-1.52%
34,2013-03-31,$-0.01B,$11.31B,-0.04%
35,2012-12-31,$-0.18B,$11.19B,-1.57%
36,2012-09-30,$-0.48B,$12.02B,-4.13%
37,2012-06-30,$-0.25B,$11.95B,-2.11%
38,2012-03-31,$-0.14B,$11.61B,-1.24%
39,2011-12-31,$-0.04B,$11.09B,-0.32%
40,2011-09-30,$0.97B,$12.05B,8.24%
41,2011-06-30,$1.05B,$11.76B,9.05%
42,2011-03-31,$1.22B,$11.71B,10.64%
43,2010-12-31,$1.26B,$11.49B,11.14%
44,2010-09-30,$1.30B,$11.55B,11.67%
45,2010-06-30,$1.20B,$11.10B,10.84%
46,2010-03-31,$0.84B,$10.98B,7.63%
47,2009-12-31,$0.85B,$11.01B,7.76%
