,Eversource Energy Price/Book Ratio Historical Data,Eversource Energy Price/Book Ratio Historical Data,Eversource Energy Price/Book Ratio Historical Data,Eversource Energy Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,86.66,,2.07
1,2021-09-30,80.59,$41.92,1.92
2,2021-06-30,78.53,$41.65,1.89
3,2021-03-31,84.14,$41.44,2.03
4,2020-12-31,83.41,$41.01,2.03
5,2020-09-30,80.02,$40.78,1.96
6,2020-06-30,79.21,$40.29,1.97
7,2020-03-31,73.86,$39.27,1.88
8,2019-12-31,79.85,$38.29,2.09
9,2019-09-30,79.72,$37.44,2.13
10,2019-06-30,70.21,$36.95,1.9
11,2019-03-31,65.28,$36.67,1.78
12,2018-12-31,59.38,$36.25,1.64
13,2018-09-30,55.67,$36.00,1.55
14,2018-06-30,52.68,$35.58,1.48
15,2018-03-31,52.49,$35.29,1.49
16,2017-12-31,55.8,$34.99,1.59
17,2017-09-30,52.99,$34.71,1.53
18,2017-06-30,52.82,$34.35,1.54
19,2017-03-31,50.75,$34.09,1.49
20,2016-12-31,47.3,$33.80,1.4
21,2016-09-30,46.01,$33.53,1.37
22,2016-06-30,50.45,$33.13,1.52
23,2016-03-31,48.74,$32.91,1.48
24,2015-12-31,42.32,$32.64,1.3
25,2015-09-30,41.59,$32.46,1.28
26,2015-06-30,36.97,$32.60,1.13
27,2015-03-31,40.79,$32.34,1.26
