,Gaming And Leisure Properties Price/Book Ratio Historical Data,Gaming And Leisure Properties Price/Book Ratio Historical Data,Gaming And Leisure Properties Price/Book Ratio Historical Data,Gaming And Leisure Properties Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,45.07,,3.73
1,2021-09-30,44.75,$12.09,3.7
2,2021-06-30,44.15,$11.53,3.83
3,2021-03-31,39.87,$11.37,3.51
4,2020-12-31,39.23,$11.51,3.41
5,2020-09-30,33.68,$10.01,3.36
6,2020-06-30,31.06,$9.65,3.22
7,2020-03-31,24.77,$9.35,2.65
8,2019-12-31,37.87,$9.66,3.92
9,2019-09-30,33.08,$9.81,3.37
10,2019-06-30,33.13,$10.06,3.3
11,2019-03-31,32.23,$10.29,3.13
12,2018-12-31,26.5,$10.58,2.51
13,2018-09-30,28.35,$11.02,2.57
14,2018-06-30,28.28,$11.13,2.54
15,2018-03-31,25.97,$11.32,2.29
16,2017-12-31,28.17,$11.56,2.44
17,2017-09-30,27.61,$11.73,2.35
18,2017-06-30,27.74,$11.87,2.34
19,2017-03-31,24.2,$11.57,2.09
20,2016-12-31,21.72,$11.72,1.85
21,2016-09-30,23.26,$11.83,1.97
22,2016-06-30,23.56,$11.73,2.01
23,2016-03-31,20.78,$-2.21,-9.39
24,2015-12-31,18.28,$-2.19,-8.34
25,2015-09-30,19.15,$-2.06,-9.28
26,2015-06-30,23.21,$-1.88,-12.33
27,2015-03-31,22.99,$-1.10,-20.91
28,2014-12-31,17.99,$-1.56,-11.53
29,2014-09-30,18.42,$-0.69,-26.58
30,2014-06-30,19.93,$-0.65,-30.68
31,2014-03-31,21.06,$-0.61,-34.6
32,2013-12-31,22.04,$1.55,14.22
