,Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data
,Date,Stock Price,TTM Net EPS,PE Ratio
0,2022-03-25,45.07,,18.03
1,2021-09-30,44.75,$2.50,17.9
2,2021-06-30,44.15,$2.45,18.02
3,2021-03-31,39.87,$2.38,16.75
4,2020-12-31,39.23,$2.29,17.13
5,2020-09-30,33.68,$2.08,16.19
6,2020-06-30,31.06,$1.92,16.18
7,2020-03-31,24.77,$1.83,13.53
8,2019-12-31,37.87,$1.81,20.92
9,2019-09-30,33.08,$1.49,22.2
10,2019-06-30,33.13,$1.56,21.24
11,2019-03-31,32.23,$1.56,20.66
12,2018-12-31,26.5,$1.58,16.77
13,2018-09-30,28.35,$1.80,15.75
14,2018-06-30,28.28,$1.76,16.07
15,2018-03-31,25.97,$1.78,14.59
16,2017-12-31,28.17,$1.78,15.83
17,2017-09-30,27.61,$1.80,15.34
18,2017-06-30,27.74,$1.78,15.58
19,2017-03-31,24.2,$1.72,14.07
20,2016-12-31,21.72,$1.55,14.02
21,2016-09-30,23.26,$1.35,17.23
22,2016-06-30,23.56,$1.20,19.64
23,2016-03-31,20.78,$1.21,17.17
24,2015-12-31,18.28,$1.33,13.74
25,2015-09-30,19.15,$1.46,13.11
26,2015-06-30,23.21,$1.60,14.5
27,2015-03-31,22.99,$1.60,14.37
28,2014-12-31,17.99,$1.58,11.39
29,2014-09-30,18.42,$1.28,14.39
