,Lamar Advertising PE Ratio Historical Data,Lamar Advertising PE Ratio Historical Data,Lamar Advertising PE Ratio Historical Data,Lamar Advertising PE Ratio Historical Data
,Date,Stock Price,TTM Net EPS,PE Ratio
0,2022-03-25,115.97,,31.43
1,2021-09-30,110.91,$3.69,30.06
2,2021-06-30,101.16,$3.26,31.03
3,2021-03-31,90.32,$2.39,37.79
4,2020-12-31,79.39,$2.41,32.94
5,2020-09-30,62.75,$2.35,26.7
6,2020-06-30,62.85,$2.72,23.11
7,2020-03-31,47.95,$3.59,13.36
8,2019-12-31,82.22,$3.70,22.22
9,2019-09-30,74.63,$3.64,20.5
10,2019-06-30,72.63,$3.60,20.18
11,2019-03-31,70.48,$3.44,20.49
12,2018-12-31,60.77,$3.08,19.73
13,2018-09-30,67.47,$3.00,22.49
14,2018-06-30,58.55,$3.03,19.32
15,2018-03-31,53.88,$2.95,18.26
16,2017-12-31,61.97,$3.22,19.25
17,2017-09-30,56.59,$3.15,17.97
18,2017-06-30,59.97,$3.04,19.73
19,2017-03-31,60.22,$2.94,20.48
20,2016-12-31,53.59,$3.05,17.57
21,2016-09-30,51.46,$3.03,16.98
22,2016-06-30,51.59,$3.05,16.91
23,2016-03-31,47.29,$2.82,16.77
24,2015-12-31,45.54,$2.71,16.81
25,2015-09-30,39.18,$4.10,9.55
26,2015-06-30,42.58,$3.58,11.89
27,2015-03-31,43.39,$3.13,13.86
28,2014-12-31,38.81,$2.66,14.59
29,2014-09-30,35.09,$0.59,59.48
30,2014-06-30,37.76,$0.41,92.1
31,2014-03-31,36.34,$0.47,77.31
32,2013-12-31,37.23,$0.45,82.73
33,2013-09-30,33.51,$0.42,79.78
34,2013-06-30,30.92,$0.35,88.33
35,2013-03-31,34.61,$0.28,123.62
36,2012-12-31,27.61,$0.10,276.09
37,2012-09-30,26.4,$0.09,293.34
38,2012-06-30,20.38,$0.01,2037.74
39,2012-03-31,23.09,$-0.02,0.0
40,2011-12-31,19.59,$0.09,217.71
41,2011-09-30,12.13,$-0.06,0.0
42,2011-06-30,19.5,$-0.09,0.0
43,2011-03-31,26.32,$-0.31,0.0
44,2010-12-31,28.39,$-0.44,0.0
45,2010-09-30,22.67,$-0.58,0.0
46,2010-06-30,17.47,$-0.64,0.0
47,2010-03-31,24.47,$-0.67,0.0
48,2009-12-31,22.15,$-0.63,0.0
