,3M Price/Book Ratio Historical Data,3M Price/Book Ratio Historical Data,3M Price/Book Ratio Historical Data,3M Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,150.46,,5.69
1,2021-12-31,175.87,$26.44,6.65
2,2021-09-30,172.25,$25.21,6.83
3,2021-06-30,193.57,$25.09,7.72
4,2021-03-31,186.4,$23.85,7.81
5,2020-12-31,167.69,$22.38,7.49
6,2020-09-30,152.37,$20.70,7.36
7,2020-06-30,147.05,$18.95,7.76
8,2020-03-31,127.4,$17.75,7.18
9,2019-12-31,163.15,$17.60,9.27
10,2019-09-30,150.72,$18.72,8.05
11,2019-06-30,157.47,$17.63,8.93
12,2019-03-31,187.13,$16.93,11.06
13,2018-12-31,170.41,$17.08,9.98
14,2018-09-30,187.16,$17.71,10.57
15,2018-06-30,173.57,$17.78,9.76
16,2018-03-31,192.38,$18.59,10.35
17,2017-12-31,205.09,$19.54,10.5
18,2017-09-30,181.97,$20.49,8.88
19,2017-06-30,179.45,$19.51,9.2
20,2017-03-31,163.93,$18.49,8.87
21,2016-12-31,152.01,$17.33,8.77
22,2016-09-30,149.06,$20.03,7.44
23,2016-06-30,147.21,$19.75,7.45
24,2016-03-31,139.15,$19.41,7.17
25,2015-12-31,124.89,$18.82,6.64
26,2015-09-30,116.77,$19.85,5.88
27,2015-06-30,126.21,$21.02,6.01
28,2015-03-31,134.07,$21.99,6.1
29,2014-12-31,132.73,$20.69,6.41
30,2014-09-30,113.83,$25.29,4.5
31,2014-06-30,114.4,$27.54,4.15
32,2014-03-31,107.7,$27.40,3.93
33,2013-12-31,110.62,$27.06,4.09
34,2013-09-30,93.72,$27.11,3.46
35,2013-06-30,85.34,$26.80,3.18
36,2013-03-31,82.5,$26.84,3.07
37,2012-12-31,71.61,$26.26,2.73
38,2012-09-30,70.81,$26.22,2.7
39,2012-06-30,68.22,$24.41,2.79
40,2012-03-31,67.45,$23.95,2.82
41,2011-12-31,61.38,$22.82,2.69
42,2011-09-30,53.54,$24.84,2.15
43,2011-06-30,70.26,$25.01,2.81
44,2011-03-31,68.85,$23.77,2.9
45,2010-12-31,63.18,$22.50,2.81
46,2010-09-30,63.08,$22.15,2.85
47,2010-06-30,57.11,$20.07,2.85
48,2010-03-31,60.04,$19.42,3.09
49,2009-12-31,59.0,$18.72,3.15
50,2009-09-30,52.33,$18.25,2.87
51,2009-06-30,42.31,$16.07,2.63
52,2009-03-31,34.7,$14.60,2.38
