,3M PE Ratio Historical Data,3M PE Ratio Historical Data,3M PE Ratio Historical Data,3M PE Ratio Historical Data
,Date,Stock Price,TTM Net EPS,PE Ratio
0,2022-03-25,150.46,,14.87
1,2021-12-31,175.87,$10.12,17.38
2,2021-09-30,172.25,$10.19,16.9
3,2021-06-30,193.57,$10.17,19.03
4,2021-03-31,186.4,$9.80,19.02
5,2020-12-31,167.69,$9.25,18.13
6,2020-09-30,152.37,$8.53,17.86
7,2020-06-30,147.05,$8.82,16.67
8,2020-03-31,127.4,$8.52,14.95
9,2019-12-31,163.15,$7.81,20.89
10,2019-09-30,150.72,$8.42,17.9
11,2019-06-30,157.47,$8.28,19.02
12,2019-03-31,187.13,$9.43,19.84
13,2018-12-31,170.41,$8.90,19.15
14,2018-09-30,187.16,$7.48,25.02
15,2018-06-30,173.57,$7.23,24.01
16,2018-03-31,192.38,$6.74,28.54
17,2017-12-31,205.09,$7.92,25.89
18,2017-09-30,181.97,$8.95,20.33
19,2017-06-30,179.45,$8.77,20.46
20,2017-03-31,163.93,$8.27,19.82
21,2016-12-31,152.01,$8.16,18.63
22,2016-09-30,149.06,$7.94,18.77
23,2016-06-30,147.21,$7.84,18.78
24,2016-03-31,139.15,$7.78,17.89
25,2015-12-31,124.89,$7.58,16.48
26,2015-09-30,116.77,$7.73,15.11
27,2015-06-30,126.21,$7.66,16.48
28,2015-03-31,134.07,$7.55,17.76
29,2014-12-31,132.73,$7.49,17.72
30,2014-09-30,113.83,$7.30,15.59
31,2014-06-30,114.4,$7.10,16.11
32,2014-03-31,107.7,$6.90,15.61
33,2013-12-31,110.62,$6.72,16.46
34,2013-09-30,93.72,$6.51,14.4
35,2013-06-30,85.34,$6.38,13.38
36,2013-03-31,82.5,$6.33,13.03
37,2012-12-31,71.61,$6.31,11.35
38,2012-09-30,70.81,$6.25,11.33
39,2012-06-30,68.22,$6.12,11.15
40,2012-03-31,67.45,$6.06,11.13
41,2011-12-31,61.38,$5.96,10.3
42,2011-09-30,53.54,$5.88,9.1
43,2011-06-30,70.26,$5.89,11.93
44,2011-03-31,68.85,$5.83,11.81
45,2010-12-31,63.18,$5.63,11.22
46,2010-09-30,63.08,$5.66,11.15
47,2010-06-30,57.11,$5.48,10.42
48,2010-03-31,60.04,$5.06,11.86
49,2009-12-31,59.0,$4.51,13.08
