,NorthWestern Price/Book Ratio Historical Data,NorthWestern Price/Book Ratio Historical Data,NorthWestern Price/Book Ratio Historical Data,NorthWestern Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,59.03,,1.36
1,2021-12-31,56.56,$43.28,1.31
2,2021-09-30,56.07,$42.70,1.31
3,2021-06-30,58.34,$42.23,1.38
4,2021-03-31,62.56,$41.71,1.5
5,2020-12-31,55.4,$41.10,1.35
6,2020-09-30,45.72,$40.62,1.13
7,2020-06-30,50.64,$40.61,1.25
8,2020-03-31,54.98,$40.75,1.35
9,2019-12-31,65.23,$40.42,1.61
10,2019-09-30,67.75,$39.74,1.7
11,2019-06-30,64.62,$39.85,1.62
12,2019-03-31,62.57,$39.45,1.59
13,2018-12-31,52.39,$38.60,1.36
14,2018-09-30,51.27,$37.76,1.36
15,2018-06-30,49.58,$37.72,1.31
16,2018-03-31,46.12,$37.08,1.24
17,2017-12-31,50.63,$36.44,1.39
18,2017-09-30,47.88,$35.54,1.35
19,2017-06-30,50.86,$35.25,1.44
20,2017-03-31,48.52,$35.28,1.38
21,2016-12-31,46.58,$34.68,1.34
22,2016-09-30,46.71,$34.12,1.37
23,2016-06-30,50.76,$33.69,1.51
24,2016-03-31,49.29,$33.43,1.47
25,2015-12-31,42.94,$33.22,1.29
26,2015-09-30,42.23,$32.27,1.31
27,2015-06-30,37.88,$32.23,1.18
28,2015-03-31,41.4,$32.02,1.29
29,2014-12-31,43.14,$31.50,1.37
30,2014-09-30,34.33,$27.63,1.24
31,2014-06-30,39.18,$27.27,1.44
32,2014-03-31,35.31,$27.45,1.29
33,2013-12-31,31.97,$26.60,1.2
34,2013-09-30,32.85,$26.11,1.26
35,2013-06-30,28.91,$26.06,1.11
36,2013-03-31,28.61,$25.75,1.11
37,2012-12-31,24.69,$25.09,0.98
38,2012-09-30,25.48,$23.88,1.07
39,2012-06-30,25.55,$24.22,1.05
40,2012-03-31,24.43,$24.17,1.01
41,2011-12-31,24.41,$23.68,1.03
42,2011-09-30,21.55,$23.11,0.93
43,2011-06-30,22.09,$23.14,0.95
44,2011-03-31,19.99,$23.19,0.86
45,2010-12-31,18.79,$22.64,0.83
46,2010-09-30,18.36,$22.37,0.82
47,2010-06-30,16.68,$22.33,0.75
48,2010-03-31,16.84,$22.22,0.76
49,2009-12-31,16.14,$21.86,0.74
50,2009-09-30,14.96,$19.62,0.76
51,2009-06-30,13.75,$19.48,0.71
52,2009-03-31,12.78,$19.62,0.65
