,NorthWestern PE Ratio Historical Data,NorthWestern PE Ratio Historical Data,NorthWestern PE Ratio Historical Data,NorthWestern PE Ratio Historical Data
,Date,Stock Price,TTM Net EPS,PE Ratio
0,2022-03-25,59.03,,16.4
1,2021-12-31,56.56,$3.60,15.71
2,2021-09-30,56.07,$3.70,15.15
3,2021-06-30,58.34,$3.60,16.21
4,2021-03-31,62.56,$3.31,18.9
5,2020-12-31,55.4,$3.07,18.05
6,2020-09-30,45.72,$3.19,14.33
7,2020-06-30,50.64,$3.03,16.71
8,2020-03-31,54.98,$3.54,15.53
9,2019-12-31,65.23,$3.98,16.39
10,2019-09-30,67.75,$4.11,16.48
11,2019-06-30,64.62,$4.25,15.21
12,2019-03-31,62.57,$4.18,14.97
13,2018-12-31,52.39,$3.92,13.36
14,2018-09-30,51.27,$3.59,14.28
15,2018-06-30,49.58,$3.78,13.12
16,2018-03-31,46.12,$3.35,13.77
17,2017-12-31,50.63,$3.34,15.16
18,2017-09-30,47.88,$3.31,14.46
19,2017-06-30,50.86,$3.48,14.61
20,2017-03-31,48.52,$3.77,12.87
21,2016-12-31,46.58,$3.39,13.74
22,2016-09-30,46.71,$3.36,13.9
23,2016-06-30,50.76,$2.95,17.21
24,2016-03-31,49.29,$2.87,17.17
25,2015-12-31,42.94,$3.17,13.55
26,2015-09-30,42.23,$3.10,13.62
27,2015-06-30,37.88,$3.36,11.27
28,2015-03-31,41.4,$2.91,14.23
29,2014-12-31,43.14,$2.99,14.43
30,2014-09-30,34.33,$2.82,12.17
31,2014-06-30,39.18,$2.45,15.99
32,2014-03-31,35.31,$2.62,13.48
33,2013-12-31,31.97,$2.46,13.0
34,2013-09-30,32.85,$3.35,9.81
35,2013-06-30,28.91,$2.85,10.14
36,2013-03-31,28.61,$2.79,10.26
37,2012-12-31,24.69,$2.66,9.28
38,2012-09-30,25.48,$2.02,12.62
39,2012-06-30,25.55,$2.53,10.1
40,2012-03-31,24.43,$2.52,9.7
41,2011-12-31,24.41,$2.53,9.65
42,2011-09-30,21.55,$2.23,9.66
43,2011-06-30,22.09,$2.22,9.95
44,2011-03-31,19.99,$2.24,8.93
45,2010-12-31,18.79,$2.14,8.78
46,2010-09-30,18.36,$2.21,8.31
47,2010-06-30,16.68,$2.33,7.16
48,2010-03-31,16.84,$2.18,7.73
49,2009-12-31,16.14,$2.02,7.99
