,ONEOK Price/Book Ratio Historical Data,ONEOK Price/Book Ratio Historical Data,ONEOK Price/Book Ratio Historical Data,ONEOK Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,72.27,,5.52
1,2021-09-30,56.26,$13.10,4.3
2,2021-06-30,53.03,$13.26,4.0
3,2021-03-31,47.41,$13.68,3.46
4,2020-12-31,35.09,$13.58,2.58
5,2020-09-30,23.01,$13.83,1.66
6,2020-06-30,28.47,$14.05,2.03
7,2020-03-31,18.08,$13.44,1.35
8,2019-12-31,61.96,$15.07,4.11
9,2019-09-30,59.56,$15.06,3.96
10,2019-06-30,54.89,$15.37,3.57
11,2019-03-31,55.02,$15.61,3.53
12,2018-12-31,41.93,$15.99,2.62
13,2018-09-30,51.97,$16.17,3.21
14,2018-06-30,52.89,$16.63,3.18
15,2018-03-31,42.55,$16.71,2.55
16,2017-12-31,39.45,$14.63,2.7
17,2017-09-30,40.32,$14.47,2.79
18,2017-06-30,37.44,$14.65,2.56
19,2017-03-31,39.34,$14.11,2.79
20,2016-12-31,40.29,$16.28,2.48
21,2016-09-30,35.61,$16.34,2.18
22,2016-06-30,32.44,$16.60,1.95
23,2016-03-31,20.07,$17.35,1.16
24,2015-12-31,16.16,$17.96,0.9
25,2015-09-30,20.71,$19.29,1.07
26,2015-06-30,25.0,$19.14,1.31
27,2015-03-31,30.16,$18.65,1.62
28,2014-12-31,30.69,$19.23,1.6
29,2014-09-30,40.01,$18.06,2.22
30,2014-06-30,41.18,$18.24,2.26
31,2014-03-31,35.52,$15.05,2.36
32,2013-12-31,32.56,$23.45,1.39
33,2013-09-30,27.74,$22.74,1.22
34,2013-06-30,21.34,$20.25,1.05
35,2013-03-31,24.45,$20.40,1.2
36,2012-12-31,21.76,$20.65,1.05
37,2012-09-30,24.42,$20.41,1.2
38,2012-06-30,21.23,$20.51,1.03
39,2012-03-31,20.34,$21.07,0.97
40,2011-12-31,21.44,$18.40,1.17
41,2011-09-30,16.21,$17.88,0.91
42,2011-06-30,18.03,$17.86,1.01
43,2011-03-31,16.17,$18.47,0.88
44,2010-12-31,13.29,$18.35,0.72
45,2010-09-30,10.69,$18.29,0.58
46,2010-06-30,10.17,$18.19,0.56
47,2010-03-31,10.64,$18.25,0.58
48,2009-12-31,10.28,$16.27,0.63
49,2009-09-30,8.35,$16.12,0.52
50,2009-06-30,6.64,$16.19,0.41
51,2009-03-31,5.02,$15.39,0.33
