,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data
,Date,Stock Price,TTM Net EPS,PE Ratio
0,2022-03-25,72.27,,22.58
1,2021-09-30,56.26,$3.20,17.58
2,2021-06-30,53.03,$3.02,17.56
3,2021-03-31,47.41,$2.57,18.45
4,2020-12-31,35.09,$1.37,25.61
5,2020-09-30,23.01,$1.45,15.87
6,2020-06-30,28.47,$1.49,19.11
7,2020-03-31,18.08,$1.92,9.42
8,2019-12-31,61.96,$3.07,20.18
9,2019-09-30,59.56,$3.00,19.85
10,2019-06-30,54.89,$3.01,18.24
11,2019-03-31,55.02,$2.94,18.72
12,2018-12-31,41.93,$2.77,15.14
13,2018-09-30,51.97,$2.23,23.31
14,2018-06-30,52.89,$1.91,27.69
15,2018-03-31,42.55,$1.56,27.27
16,2017-12-31,39.45,$1.33,29.66
17,2017-09-30,40.32,$1.60,25.2
18,2017-06-30,37.44,$1.60,23.4
19,2017-03-31,39.34,$1.67,23.56
20,2016-12-31,40.29,$1.66,24.27
21,2016-09-30,35.61,$1.35,26.38
22,2016-06-30,32.44,$1.31,24.76
23,2016-03-31,20.07,$1.27,15.8
24,2015-12-31,16.16,$1.16,13.93
25,2015-09-30,20.71,$1.49,13.9
26,2015-06-30,25.0,$1.41,17.73
27,2015-03-31,30.16,$1.34,22.51
28,2014-12-31,30.69,$1.49,20.6
29,2014-09-30,40.01,$1.47,27.21
30,2014-06-30,41.18,$1.46,28.21
31,2014-03-31,35.52,$1.17,30.36
32,2013-12-31,32.56,$1.27,25.64
33,2013-09-30,27.74,$1.37,20.25
34,2013-06-30,21.34,$1.38,15.46
35,2013-03-31,24.45,$1.67,14.64
36,2012-12-31,21.76,$1.71,12.72
37,2012-09-30,24.42,$1.73,14.15
38,2012-06-30,21.23,$1.70,12.49
39,2012-03-31,20.34,$1.67,12.21
40,2011-12-31,21.44,$1.68,12.76
41,2011-09-30,16.21,$1.52,10.7
42,2011-06-30,18.03,$1.49,12.14
43,2011-03-31,16.17,$1.43,11.35
44,2010-12-31,13.29,$1.55,8.58
45,2010-09-30,10.69,$1.61,6.66
46,2010-06-30,10.17,$1.58,6.46
47,2010-03-31,10.64,$1.58,6.75
48,2009-12-31,10.28,$1.44,7.16
