,Philip Morris Price/Book Ratio Historical Data,Philip Morris Price/Book Ratio Historical Data,Philip Morris Price/Book Ratio Historical Data,Philip Morris Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,93.45,,0.0
1,2021-12-31,93.72,$-5.29,-17.7
2,2021-09-30,92.27,$-5.54,-16.65
3,2021-06-30,95.26,$-5.90,-16.14
4,2021-03-31,84.27,$-6.14,-13.72
5,2020-12-31,77.58,$-6.83,-11.37
6,2020-09-30,69.26,$-6.58,-10.53
7,2020-06-30,63.69,$-6.50,-9.8
8,2020-03-31,65.27,$-7.10,-9.19
9,2019-12-31,74.69,$-6.17,-12.11
10,2019-09-30,65.76,$-5.88,-11.18
11,2019-06-30,66.91,$-6.05,-11.06
12,2019-03-31,74.22,$-6.55,-11.34
13,2018-12-31,55.34,$-6.91,-8.01
14,2018-09-30,66.54,$-6.40,-10.4
15,2018-06-30,64.96,$-6.54,-9.93
16,2018-03-31,78.84,$-6.74,-11.69
17,2017-12-31,82.89,$-6.59,-12.59
18,2017-09-30,86.22,$-6.20,-13.9
19,2017-06-30,90.36,$-6.62,-13.66
20,2017-03-31,86.11,$-6.80,-12.67
21,2016-12-31,69.15,$-7.03,-9.84
22,2016-09-30,72.64,$-6.65,-10.92
23,2016-06-30,75.22,$-6.96,-10.81
24,2016-03-31,71.82,$-7.02,-10.23
25,2015-12-31,63.68,$-7.41,-8.6
26,2015-09-30,56.8,$-7.89,-7.2
27,2015-06-30,56.67,$-7.62,-7.44
28,2015-03-31,52.6,$-7.91,-6.65
29,2014-12-31,56.15,$-7.24,-7.75
30,2014-09-30,56.81,$-5.58,-10.19
31,2014-06-30,56.75,$-5.01,-11.32
32,2014-03-31,54.53,$-4.54,-12.01
33,2013-12-31,57.37,$-3.95,-14.53
34,2013-09-30,56.39,$-4.48,-12.59
35,2013-06-30,55.81,$-3.22,-17.33
36,2013-03-31,59.15,$-2.47,-23.91
37,2012-12-31,52.87,$-1.91,-27.72
38,2012-09-30,56.29,$-0.69,-81.31
39,2012-06-30,54.1,$-0.66,-82.05
40,2012-03-31,54.44,$0.22,246.32
41,2011-12-31,47.79,$0.32,149.68
42,2011-09-30,37.61,$1.40,26.85
43,2011-06-30,39.78,$2.26,17.62
44,2011-03-31,38.73,$2.42,16.03
45,2010-12-31,34.2,$2.18,15.67
46,2010-09-30,32.38,$2.71,11.96
47,2010-06-30,26.19,$2.38,10.98
48,2010-03-31,29.42,$2.80,10.52
49,2009-12-31,26.88,$3.26,8.26
50,2009-09-30,26.87,$3.51,7.65
51,2009-06-30,23.76,$3.44,6.9
52,2009-03-31,19.14,$3.12,6.13
