,Philip Morris ROE - Return on Equity Historical Data,Philip Morris ROE - Return on Equity Historical Data,Philip Morris ROE - Return on Equity Historical Data,Philip Morris ROE - Return on Equity Historical Data
,Date,TTM Net Income,Shareholder's Equity,Return on Equity
0,2021-12-31,$9.08B,$-8.21B,-102.02%
1,2021-09-30,$8.97B,$-8.63B,-94.30%
2,2021-06-30,$8.85B,$-9.20B,-89.28%
3,2021-03-31,$8.63B,$-9.57B,-85.05%
4,2020-12-31,$8.04B,$-10.63B,-76.43%
5,2020-09-30,$7.67B,$-10.25B,-74.81%
6,2020-06-30,$7.26B,$-10.12B,-72.73%
7,2020-03-31,$7.64B,$-11.06B,-77.90%
8,2019-12-31,$7.17B,$-9.60B,-74.77%
9,2019-09-30,$7.47B,$-9.16B,-75.64%
10,2019-06-30,$7.82B,$-9.41B,-77.65%
11,2019-03-31,$7.69B,$-10.19B,-74.98%
12,2018-12-31,$7.90B,$-10.74B,-76.41%
13,2018-09-30,$6.68B,$-9.94B,-65.45%
14,2018-06-30,$6.40B,$-10.17B,-63.23%
15,2018-03-31,$5.99B,$-10.48B,-58.95%
16,2017-12-31,$6.02B,$-10.23B,-59.18%
17,2017-09-30,$7.04B,$-9.63B,-68.03%
18,2017-06-30,$7.00B,$-10.28B,-66.61%
19,2017-03-31,$7.01B,$-10.56B,-65.86%
20,2016-12-31,$6.95B,$-10.90B,-64.77%
21,2016-09-30,$6.49B,$-10.32B,-59.66%
22,2016-06-30,$6.49B,$-10.80B,-57.17%
23,2016-03-31,$6.59B,$-10.89B,-56.78%
24,2015-12-31,$6.85B,$-11.48B,-57.38%
25,2015-09-30,$7.20B,$-12.23B,-60.67%
26,2015-06-30,$7.41B,$-11.80B,-67.49%
27,2015-03-31,$7.37B,$-12.25B,-73.77%
28,2014-12-31,$7.46B,$-11.20B,-85.53%
29,2014-09-30,$7.84B,$-8.68B,-104.68%
30,2014-06-30,$8.02B,$-7.85B,-112.70%
31,2014-03-31,$8.29B,$-7.16B,-128.32%
32,2013-12-31,$8.53B,$-6.27B,-150.03%
33,2013-09-30,$8.64B,$-7.19B,-176.06%
34,2013-06-30,$8.53B,$-5.23B,-250.85%
35,2013-03-31,$8.72B,$-4.06B,-367.61%
36,2012-12-31,$8.75B,$-3.15B,-692.95%
37,2012-09-30,$8.54B,$-1.16B,-2537.19%
38,2012-06-30,$8.69B,$-1.12B,1544.56%
39,2012-03-31,$8.78B,$0.38B,478.39%
40,2011-12-31,$8.54B,$0.55B,303.04%
41,2011-09-30,$8.39B,$2.44B,228.86%
42,2011-06-30,$7.85B,$3.98B,183.06%
43,2011-03-31,$7.43B,$4.31B,169.46%
44,2010-12-31,$7.23B,$3.93B,156.86%
45,2010-09-30,$7.03B,$4.92B,136.23%
46,2010-06-30,$7.01B,$4.38B,124.92%
47,2010-03-31,$6.57B,$5.19B,106.21%
48,2009-12-31,$6.34B,$6.15B,98.72%
