,Phillips 66 Price/Book Ratio Historical Data,Phillips 66 Price/Book Ratio Historical Data,Phillips 66 Price/Book Ratio Historical Data,Phillips 66 Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,83.85,,1.78
1,2021-09-30,68.46,$47.01,1.46
2,2021-06-30,82.83,$47.04,1.76
3,2021-03-31,77.87,$46.72,1.67
4,2020-12-31,66.07,$49.27,1.34
5,2020-09-30,48.28,$51.06,0.95
6,2020-06-30,66.01,$53.34,1.24
7,2020-03-31,48.64,$54.13,0.9
8,2019-12-31,99.99,$61.60,1.62
9,2019-09-30,91.21,$60.97,1.5
10,2019-06-30,82.57,$60.88,1.36
11,2019-03-31,83.12,$58.97,1.41
12,2018-12-31,74.62,$59.52,1.25
13,2018-09-30,96.84,$55.94,1.73
14,2018-06-30,95.82,$53.76,1.78
15,2018-03-31,81.3,$52.16,1.56
16,2017-12-31,85.09,$54.61,1.56
17,2017-09-30,76.48,$47.28,1.62
18,2017-06-30,68.46,$46.54,1.47
19,2017-03-31,65.01,$45.97,1.41
20,2016-12-31,70.34,$45.73,1.54
21,2016-09-30,65.08,$46.68,1.39
22,2016-06-30,63.59,$46.03,1.38
23,2016-03-31,68.85,$44.98,1.53
24,2015-12-31,64.54,$45.22,1.43
25,2015-09-30,60.26,$45.05,1.34
26,2015-06-30,62.76,$43.19,1.45
27,2015-03-31,60.81,$41.72,1.46
28,2014-12-31,55.11,$40.33,1.37
29,2014-09-30,62.07,$40.10,1.55
30,2014-06-30,61.03,$39.28,1.55
31,2014-03-31,58.12,$38.58,1.51
32,2013-12-31,57.87,$37.94,1.53
33,2013-09-30,43.12,$36.69,1.18
34,2013-06-30,43.7,$35.50,1.23
35,2013-03-31,51.66,$34.52,1.5
36,2012-12-31,38.82,$33.37,1.16
37,2012-09-30,33.72,$32.93,1.02
38,2012-06-30,24.03,$30.27,0.79
