,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data
,Date,Stock Price,TTM Net EPS,PE Ratio
0,2022-03-25,83.85,,28.33
1,2021-12-31,71.68,$2.96,24.22
2,2021-09-30,68.46,$-1.15,0.0
3,2021-06-30,82.83,$-3.88,0.0
4,2021-03-31,77.87,$-4.87,0.0
5,2020-12-31,66.07,$-9.04,0.0
6,2020-09-30,48.28,$-6.17,0.0
7,2020-06-30,66.01,$-2.77,0.0
8,2020-03-31,48.64,$0.68,71.52
9,2019-12-31,99.99,$6.78,14.75
10,2019-09-30,91.21,$9.96,9.16
11,2019-06-30,82.57,$11.56,7.14
12,2019-03-31,83.12,$11.28,7.37
13,2018-12-31,74.62,$11.91,6.27
14,2018-09-30,96.84,$13.34,7.26
15,2018-06-30,95.82,$11.76,8.15
16,2018-03-31,81.3,$9.98,8.15
17,2017-12-31,85.09,$9.93,8.57
18,2017-09-30,76.48,$3.99,19.17
19,2017-06-30,68.46,$3.35,20.43
20,2017-03-31,65.01,$3.22,20.19
21,2016-12-31,70.34,$2.92,24.09
22,2016-09-30,65.08,$3.81,17.08
23,2016-06-30,63.59,$5.75,11.06
24,2016-03-31,68.85,$6.66,10.34
25,2015-12-31,64.54,$7.73,8.35
26,2015-09-30,60.26,$8.58,7.02
27,2015-06-30,62.76,$7.77,8.08
28,2015-03-31,60.81,$7.44,8.17
29,2014-12-31,55.11,$8.32,6.62
30,2014-09-30,62.07,$7.64,8.12
31,2014-06-30,61.03,$6.42,9.51
32,2014-03-31,58.12,$6.44,9.02
33,2013-12-31,57.87,$6.00,9.64
34,2013-09-30,43.12,$5.74,7.51
35,2013-06-30,43.7,$7.38,5.92
36,2013-03-31,51.66,$7.71,6.7
