,Spire ROE - Return on Equity Historical Data,Spire ROE - Return on Equity Historical Data,Spire ROE - Return on Equity Historical Data,Spire ROE - Return on Equity Historical Data
,Date,TTM Net Income,Shareholder's Equity,Return on Equity
0,2021-12-31,$0.22B,$2.67B,8.29%
1,2021-09-30,$0.26B,$2.66B,9.59%
2,2021-06-30,$0.25B,$2.70B,9.38%
3,2021-03-31,$0.15B,$2.73B,5.73%
4,2020-12-31,$0.10B,$2.59B,3.72%
5,2020-09-30,$0.07B,$2.52B,2.86%
6,2020-06-30,$0.06B,$2.56B,2.28%
7,2020-03-31,$0.15B,$2.67B,5.76%
8,2019-12-31,$0.17B,$2.59B,6.86%
9,2019-09-30,$0.18B,$2.54B,7.23%
10,2019-06-30,$0.19B,$2.61B,7.95%
11,2019-03-31,$0.22B,$2.41B,9.55%
12,2018-12-31,$0.17B,$2.29B,7.33%
13,2018-09-30,$0.21B,$2.26B,9.73%
14,2018-06-30,$0.23B,$2.31B,10.60%
15,2018-03-31,$0.22B,$2.15B,10.76%
16,2017-12-31,$0.23B,$2.08B,11.63%
17,2017-09-30,$0.16B,$1.99B,8.36%
18,2017-06-30,$0.16B,$2.03B,8.56%
19,2017-03-31,$0.15B,$1.88B,8.22%
20,2016-12-31,$0.14B,$1.80B,8.06%
21,2016-09-30,$0.14B,$1.77B,8.41%
22,2016-06-30,$0.14B,$1.80B,8.41%
23,2016-03-31,$0.14B,$1.68B,8.85%
24,2015-12-31,$0.14B,$1.60B,8.51%
25,2015-09-30,$0.14B,$1.57B,8.60%
26,2015-06-30,$0.14B,$1.61B,8.94%
27,2015-03-31,$0.14B,$1.61B,8.92%
28,2014-12-31,$0.10B,$1.53B,6.76%
29,2014-09-30,$0.09B,$1.51B,6.52%
30,2014-06-30,$0.09B,$1.53B,7.57%
31,2014-03-31,$0.09B,$1.11B,7.91%
32,2013-12-31,$0.06B,$1.07B,6.57%
33,2013-09-30,$0.05B,$1.05B,6.14%
34,2013-06-30,$0.06B,$1.08B,8.42%
35,2013-03-31,$0.06B,$0.64B,10.19%
36,2012-12-31,$0.06B,$0.62B,10.29%
37,2012-09-30,$0.06B,$0.60B,10.42%
38,2012-06-30,$0.06B,$0.61B,10.05%
39,2012-03-31,$0.07B,$0.62B,11.37%
40,2011-12-31,$0.07B,$0.59B,11.25%
41,2011-09-30,$0.06B,$0.57B,11.10%
42,2011-06-30,$0.06B,$0.58B,11.46%
43,2011-03-31,$0.05B,$0.57B,9.81%
44,2010-12-31,$0.05B,$0.55B,9.88%
45,2010-09-30,$0.05B,$0.54B,9.96%
46,2010-06-30,$0.05B,$0.55B,9.49%
47,2010-03-31,$0.05B,$0.55B,9.93%
48,2009-12-31,$0.06B,$0.53B,10.60%
