,WEC Energy Price/Book Ratio Historical Data,WEC Energy Price/Book Ratio Historical Data,WEC Energy Price/Book Ratio Historical Data,WEC Energy Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,98.07,,2.79
1,2021-09-30,86.85,$35.21,2.47
2,2021-06-30,86.98,$34.97,2.49
3,2021-03-31,90.87,$34.77,2.61
4,2020-12-31,88.64,$33.80,2.62
5,2020-09-30,92.76,$33.47,2.77
6,2020-06-30,83.33,$33.26,2.5
7,2020-03-31,83.16,$33.24,2.5
8,2019-12-31,86.49,$32.51,2.66
9,2019-09-30,88.59,$32.29,2.74
10,2019-06-30,77.15,$32.17,2.4
11,2019-03-31,72.65,$32.06,2.27
12,2018-12-31,63.12,$31.19,2.02
13,2018-09-30,60.37,$31.19,1.94
14,2018-06-30,57.98,$30.92,1.88
15,2018-03-31,55.74,$30.74,1.81
16,2017-12-31,58.52,$30.08,1.95
17,2017-09-30,54.89,$29.23,1.88
18,2017-06-30,53.24,$29.10,1.83
19,2017-03-31,52.14,$29.01,1.8
20,2016-12-31,49.99,$28.39,1.76
21,2016-09-30,50.59,$28.27,1.79
22,2016-06-30,54.73,$28.08,1.95
23,2016-03-31,49.94,$28.03,1.78
24,2015-12-31,42.28,$27.51,1.54
25,2015-09-30,42.64,$27.60,1.55
26,2015-06-30,36.55,$27.05,1.35
27,2015-03-31,39.7,$20.14,1.97
28,2014-12-31,41.96,$19.73,2.13
29,2014-09-30,33.93,$19.64,1.73
30,2014-06-30,36.69,$19.50,1.88
31,2014-03-31,36.09,$19.30,1.87
32,2013-12-31,31.76,$18.87,1.68
33,2013-09-30,30.74,$18.67,1.65
34,2013-06-30,30.93,$18.56,1.67
35,2013-03-31,32.11,$18.51,1.73
36,2012-12-31,27.35,$18.19,1.5
37,2012-09-30,27.73,$18.16,1.53
38,2012-06-30,28.91,$17.84,1.62
39,2012-03-31,25.5,$17.71,1.44
40,2011-12-31,25.12,$17.33,1.45
41,2011-09-30,22.3,$17.17,1.3
42,2011-06-30,22.14,$17.02,1.3
43,2011-03-31,21.36,$16.83,1.27
44,2010-12-31,20.43,$16.39,1.25
45,2010-09-30,19.93,$16.07,1.24
46,2010-06-30,17.37,$15.86,1.1
47,2010-03-31,16.78,$15.71,1.07
48,2009-12-31,16.79,$15.39,1.09
49,2009-09-30,15.1,$15.04,1.0
50,2009-06-30,13.51,$14.96,0.9
51,2009-03-31,13.54,$14.84,0.91
