,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data
,Date,Stock Price,TTM Net EPS,PE Ratio
0,2022-03-25,98.07,,23.86
1,2021-12-31,96.3,$4.11,23.43
2,2021-09-30,86.85,$4.16,20.88
3,2021-06-30,86.98,$4.08,21.32
4,2021-03-31,90.87,$3.97,22.89
5,2020-12-31,88.64,$3.79,23.39
6,2020-09-30,92.76,$3.80,24.41
7,2020-06-30,83.33,$3.70,22.52
8,2020-03-31,83.16,$3.68,22.6
9,2019-12-31,86.49,$3.58,24.16
10,2019-09-30,88.59,$3.46,25.6
11,2019-06-30,77.15,$3.46,22.3
12,2019-03-31,72.65,$3.45,21.06
13,2018-12-31,63.12,$3.35,18.84
14,2018-09-30,60.37,$4.06,14.87
15,2018-06-30,57.98,$4.00,14.5
16,2018-03-31,55.74,$3.90,14.29
17,2017-12-31,58.52,$3.79,15.44
18,2017-09-30,54.89,$3.04,18.06
19,2017-06-30,53.24,$3.04,17.51
20,2017-03-31,52.14,$2.98,17.5
21,2016-12-31,49.99,$2.95,16.94
22,2016-09-30,50.59,$2.91,17.38
23,2016-06-30,54.73,$2.81,19.48
24,2016-03-31,49.94,$2.59,19.28
25,2015-12-31,42.28,$2.36,17.92
26,2015-09-30,42.64,$2.32,18.38
27,2015-06-30,36.55,$2.30,15.89
28,2015-03-31,39.7,$2.53,15.69
29,2014-12-31,41.96,$2.58,16.26
30,2014-09-30,33.93,$2.68,12.66
31,2014-06-30,36.69,$2.72,13.49
32,2014-03-31,36.09,$2.66,13.57
33,2013-12-31,31.76,$2.51,12.66
34,2013-09-30,30.74,$2.31,13.31
35,2013-06-30,30.93,$2.38,12.99
36,2013-03-31,32.11,$2.37,13.55
37,2012-12-31,27.35,$2.35,11.64
38,2012-09-30,27.73,$2.42,11.46
39,2012-06-30,28.91,$2.30,12.57
40,2012-03-31,25.5,$2.25,11.33
41,2011-12-31,25.12,$2.23,11.26
42,2011-09-30,22.3,$2.26,9.87
43,2011-06-30,22.14,$2.19,10.13
44,2011-03-31,21.36,$2.10,10.17
45,2010-12-31,20.43,$1.93,10.59
46,2010-09-30,19.93,$1.90,10.49
47,2010-06-30,17.37,$1.68,10.37
48,2010-03-31,16.78,$1.57,10.69
49,2009-12-31,16.79,$1.62,10.36
