,WEC Energy ROE - Return on Equity Historical Data,WEC Energy ROE - Return on Equity Historical Data,WEC Energy ROE - Return on Equity Historical Data,WEC Energy ROE - Return on Equity Historical Data
,Date,TTM Net Income,Shareholder's Equity,Return on Equity
0,2021-12-31,$1.30B,$11.11B,11.76%
1,2021-09-30,$1.32B,$11.11B,12.02%
2,2021-06-30,$1.29B,$11.03B,11.96%
3,2021-03-31,$1.26B,$10.97B,11.79%
4,2020-12-31,$1.20B,$10.66B,11.38%
5,2020-09-30,$1.21B,$10.56B,11.54%
6,2020-06-30,$1.17B,$10.49B,11.33%
7,2020-03-31,$1.17B,$10.49B,11.36%
8,2019-12-31,$1.13B,$10.26B,11.14%
9,2019-09-30,$1.10B,$10.19B,10.87%
10,2019-06-30,$1.09B,$10.15B,10.95%
11,2019-03-31,$1.09B,$10.11B,11.01%
12,2018-12-31,$1.06B,$9.84B,10.82%
13,2018-09-30,$1.29B,$9.84B,13.27%
14,2018-06-30,$1.27B,$9.76B,13.30%
15,2018-03-31,$1.24B,$9.70B,13.16%
16,2017-12-31,$1.20B,$9.49B,13.00%
17,2017-09-30,$0.97B,$9.23B,10.57%
18,2017-06-30,$0.97B,$9.18B,10.68%
19,2017-03-31,$0.95B,$9.16B,10.57%
20,2016-12-31,$0.94B,$8.96B,10.54%
21,2016-09-30,$0.92B,$8.92B,10.45%
22,2016-06-30,$0.89B,$8.86B,10.13%
23,2016-03-31,$0.79B,$8.85B,9.07%
24,2015-12-31,$0.64B,$8.69B,8.39%
25,2015-09-30,$0.58B,$8.71B,8.86%
26,2015-06-30,$0.52B,$8.54B,9.55%
27,2015-03-31,$0.58B,$4.54B,12.93%
28,2014-12-31,$0.59B,$4.45B,13.34%
29,2014-09-30,$0.61B,$4.43B,14.01%
30,2014-06-30,$0.62B,$4.40B,14.45%
31,2014-03-31,$0.61B,$4.35B,14.27%
32,2013-12-31,$0.58B,$4.26B,13.64%
33,2013-09-30,$0.53B,$4.23B,12.65%
34,2013-06-30,$0.55B,$4.23B,13.12%
35,2013-03-31,$0.55B,$4.23B,13.21%
36,2012-12-31,$0.55B,$4.17B,13.21%
37,2012-09-30,$0.56B,$4.18B,13.76%
38,2012-06-30,$0.54B,$4.11B,13.29%
39,2012-03-31,$0.53B,$4.08B,13.18%
40,2011-12-31,$0.53B,$3.99B,13.28%
41,2011-09-30,$0.54B,$3.97B,13.67%
42,2011-06-30,$0.52B,$3.98B,13.39%
43,2011-03-31,$0.50B,$3.94B,13.08%
44,2010-12-31,$0.46B,$3.83B,12.21%
45,2010-09-30,$0.45B,$3.76B,12.22%
46,2010-06-30,$0.40B,$3.71B,10.96%
47,2010-03-31,$0.37B,$3.67B,10.42%
48,2009-12-31,$0.38B,$3.60B,10.91%
