,Symbol,EPS,ROE,PE,PB,APR
0,AAPL,3.28,75.22,29.4,24.57,1.0
1,AAPL,2.97,54.35,18.3,10.45,1.0
2,AAPL,2.98,45.77,15.6,7.35,1.0
3,AAPL,2.3,36.04,15.95,5.47,2.0
4,AAPL,2.08,37.16,11.8,4.05,2.0
5,GLPI,2.3,20.66,15.7,3.12,7.0
6,GLPI,1.81,15.64,21.17,3.32,7.0
7,GLPI,1.58,15.4,15.72,2.42,7.0
8,GLPI,1.79,15.13,15.15,2.25,7.0
9,GLPI,1.6,6.39,16.98,-0.9,7.0
10,OKE,1.42,10.97,17.48,1.85,10.0
11,OKE,3.07,19.39,19.2,3.75,5.0
12,OKE,2.78,13.29,23.3,2.85,5.0
13,OKE,1.29,8.93,25.27,2.48,5.0
14,OKE,1.66,8.1,22.55,1.88,6.0
15,UVV,2.86,5.15,15.12,0.73,8.0
16,UVV,4.11,6.78,13.32,0.85,5.0
17,UVV,4.14,8.12,10.82,0.45,6.0
18,UVV,0.88,2.37,42.73,0.85,4.0
19,UVV,3.92,6.89,11.55,0.5,5.0
20,PM,5.16,-75.47,13.95,-9.97,6.0
21,PM,4.61,-75.76,14.4,-11.38,6.0
22,PM,5.08,-66.01,15.6,-9.88,5.0
23,PM,3.88,-64.92,19.85,-12.93,4.0
24,PM,4.48,-59.59,16.88,-10.43,4.0
25,VLO,-3.5,-0.01,15.15,0.9,7.0
26,VLO,5.84,11.36,12.53,1.27,4.0
27,VLO,7.29,18.22,8.55,1.48,3.0
28,VLO,9.16,11.92,11.55,1.2,4.0
29,VLO,4.94,12.82,8.12,0.93,4.0
30,PSX,-9.06,-8.0,17.88,0.85,5.0
31,PSX,6.77,17.12,9.55,1.33,4.0
32,PSX,11.8,22.84,7.4,1.52,3.0
33,PSX,9.85,10.96,17.02,1.48,3.0
34,PSX,2.92,10.82,15.57,1.4,3.0
35,EIX,1.98,5.51,27.38,1.18,4.0
36,EIX,3.77,0.58,4.53,1.38,4.0
37,EIX,-1.3,1.53,31.6,1.23,4.0
38,EIX,1.72,8.38,19.08,1.38,3.0
39,EIX,3.97,7.52,19.8,1.32,3.0
40,NWE,3.06,7.96,16.12,1.23,4.0
41,NWE,3.98,10.62,15.7,1.43,3.0
42,NWE,3.92,9.87,13.57,1.28,4.0
43,NWE,3.34,9.9,14.23,1.32,4.0
44,NWE,3.39,9.59,15.25,1.38,3.0
45,ALE,3.35,7.35,15.88,1.05,4.0
46,ALE,3.59,8.86,20.23,1.7,3.0
47,ALE,3.38,8.02,20.42,1.58,3.0
48,ALE,3.38,8.57,18.62,1.38,3.0
49,ALE,3.14,7.87,17.28,1.32,4.0
50,SR,1.44,3.65,35.62,1.18,4.0
51,SR,3.52,7.9,20.15,1.48,3.0
52,SR,4.33,9.61,15.3,1.38,3.0
53,SR,3.43,9.19,16.38,1.43,3.0
54,SR,3.24,8.43,16.92,1.35,3.0
55,MMM,9.36,47.46,16.85,7.38,4.0
56,MMM,7.72,49.52,19.15,9.28,3.0
57,MMM,8.89,41.91,24.15,10.1,3.0
58,MMM,7.93,45.78,21.57,9.15,2.0
59,MMM,8.16,41.84,18.45,7.65,3.0
60,LAMR,2.41,24.2,23.82,5.47,4.0
61,LAMR,3.71,31.86,20.68,6.5,5.0
62,LAMR,3.08,27.54,19.9,5.4,5.0
63,LAMR,3.23,28.45,19.3,5.22,5.0
64,LAMR,3.05,28.18,17.0,4.68,5.0
65,WEC,3.79,11.4,23.05,2.33,3.0
66,WEC,3.58,10.99,23.02,2.38,3.0
67,WEC,3.34,12.64,15.45,1.88,3.0
68,WEC,3.79,11.21,16.98,1.62,3.0
69,WEC,2.96,10.05,18.2,1.75,3.0
70,ES,3.55,8.5,23.62,1.9,3.0
71,ES,2.81,7.96,25.55,1.7,3.0
72,ES,3.25,9.12,17.1,1.48,3.0
73,ES,3.11,9.04,17.18,1.48,3.0
74,ES,2.96,8.54,17.12,1.3,3.0
75,CMI,12.01,21.32,15.42,2.97,3.0
76,CMI,14.48,28.77,10.05,2.73,3.0
77,CMI,13.15,16.45,17.5,2.5,3.0
78,CMI,5.97,18.49,18.07,2.95,3.0
79,CMI,8.23,17.27,13.85,2.38,3.0
